CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102943943001EY0F;11/02/2025;1;0,875;0;;R
ES0031102943943001EY0F;11/02/2025;2;0,503;0;;R
ES0031102943943001EY0F;11/02/2025;3;0,232;0;;R
ES0031102943943001EY0F;11/02/2025;4;0,229;0;;R
ES0031102943943001EY0F;11/02/2025;5;0,228;0;;R
ES0031102943943001EY0F;11/02/2025;6;0,227;0;;R
ES0031102943943001EY0F;11/02/2025;7;0,227;0;;R
ES0031102943943001EY0F;11/02/2025;8;0,226;0;;R
ES0031102943943001EY0F;11/02/2025;9;0,531;0;;R
ES0031102943943001EY0F;11/02/2025;10;0,912;0;;R
ES0031102943943001EY0F;11/02/2025;11;1,183;0;;R
ES0031102943943001EY0F;11/02/2025;12;0;0,139;;R
ES0031102943943001EY0F;11/02/2025;13;0;2,069;;R
ES0031102943943001EY0F;11/02/2025;14;0;2,173;;R
ES0031102943943001EY0F;11/02/2025;15;0;1,677;;R
ES0031102943943001EY0F;11/02/2025;16;0;1,513;;R
ES0031102943943001EY0F;11/02/2025;17;0;0,623;;R
ES0031102943943001EY0F;11/02/2025;18;0;0,138;;R
ES0031102943943001EY0F;11/02/2025;19;0,387;0;;R
ES0031102943943001EY0F;11/02/2025;20;0,474;0;;R
ES0031102943943001EY0F;11/02/2025;21;0,458;0;;R
ES0031102943943001EY0F;11/02/2025;22;1,066;0;;R
ES0031102943943001EY0F;11/02/2025;23;2,219;0;;R
ES0031102943943001EY0F;11/02/2025;24;1,469;0;;R
ES0031102943943001EY0F;12/02/2025;1;0,853;0;;R
ES0031102943943001EY0F;12/02/2025;2;0,476;0;;R
ES0031102943943001EY0F;12/02/2025;3;0,231;0;;R
ES0031102943943001EY0F;12/02/2025;4;0,246;0;;R
ES0031102943943001EY0F;12/02/2025;5;0,225;0;;R
ES0031102943943001EY0F;12/02/2025;6;0,244;0;;R
ES0031102943943001EY0F;12/02/2025;7;0,232;0;;R
ES0031102943943001EY0F;12/02/2025;8;0,237;0;;R
ES0031102943943001EY0F;12/02/2025;9;0,62;0;;R
ES0031102943943001EY0F;12/02/2025;10;0;0,037;;R
ES0031102943943001EY0F;12/02/2025;11;0,384;0;;R
ES0031102943943001EY0F;12/02/2025;12;0;1,615;;R
ES0031102943943001EY0F;12/02/2025;13;0;2,227;;R
ES0031102943943001EY0F;12/02/2025;14;0;1,553;;R
ES0031102943943001EY0F;12/02/2025;15;0;0,911;;R
ES0031102943943001EY0F;12/02/2025;16;0;1,649;;R
ES0031102943943001EY0F;12/02/2025;17;0;1,31;;R
ES0031102943943001EY0F;12/02/2025;18;0;0,6;;R
ES0031102943943001EY0F;12/02/2025;19;1,006;0;;R
ES0031102943943001EY0F;12/02/2025;20;1,712;0;;R
ES0031102943943001EY0F;12/02/2025;21;0,817;0;;R
ES0031102943943001EY0F;12/02/2025;22;1,164;0;;R
ES0031102943943001EY0F;12/02/2025;23;1,382;0;;R
ES0031102943943001EY0F;12/02/2025;24;1,426;0;;R
ES0031102943943001EY0F;13/02/2025;1;0,856;0;;R
ES0031102943943001EY0F;13/02/2025;2;0,419;0;;R
ES0031102943943001EY0F;13/02/2025;3;0,245;0;;R
ES0031102943943001EY0F;13/02/2025;4;0,236;0;;R
ES0031102943943001EY0F;13/02/2025;5;0,231;0;;R
ES0031102943943001EY0F;13/02/2025;6;0,234;0;;R
ES0031102943943001EY0F;13/02/2025;7;0,22;0;;R
ES0031102943943001EY0F;13/02/2025;8;0,233;0;;R
ES0031102943943001EY0F;13/02/2025;9;0,219;0;;R
ES0031102943943001EY0F;13/02/2025;10;0;0,083;;R
ES0031102943943001EY0F;13/02/2025;11;0;0,113;;R
ES0031102943943001EY0F;13/02/2025;12;0;1,981;;R
ES0031102943943001EY0F;13/02/2025;13;0;2,205;;R
ES0031102943943001EY0F;13/02/2025;14;0;2,39;;R
ES0031102943943001EY0F;13/02/2025;15;0;1,98;;R
ES0031102943943001EY0F;13/02/2025;16;0;1,942;;R
ES0031102943943001EY0F;13/02/2025;17;0;1,506;;R
ES0031102943943001EY0F;13/02/2025;18;0;0,746;;R
ES0031102943943001EY0F;13/02/2025;19;0,204;0;;R
ES0031102943943001EY0F;13/02/2025;20;0,431;0;;R
ES0031102943943001EY0F;13/02/2025;21;0,337;0;;R
ES0031102943943001EY0F;13/02/2025;22;0,77;0;;R
ES0031102943943001EY0F;13/02/2025;23;1,607;0;;R
ES0031102943943001EY0F;13/02/2025;24;1,389;0;;R
ES0031102943943001EY0F;14/02/2025;1;0,661;0;;R
ES0031102943943001EY0F;14/02/2025;2;0,274;0;;R
ES0031102943943001EY0F;14/02/2025;3;0,267;0;;R
ES0031102943943001EY0F;14/02/2025;4;0,254;0;;R
ES0031102943943001EY0F;14/02/2025;5;0,262;0;;R
